Description,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal)
'finishing up' the api,3/8/2021,11:15:00 AM,3/8/2021,11:48:00 AM,0:33:00,0.55
Plumber,3/7/2021,12:36:00 AM,3/7/2021,1:36:13 AM,1:00:13,1
data wrangling plumber,3/5/2021,5:53:37 PM,3/5/2021,6:19:20 PM,0:25:43,0.43
more plumber stuff,3/5/2021,4:08:05 PM,3/5/2021,4:34:38 PM,0:26:33,0.44
api functions,3/5/2021,2:27:05 PM,3/5/2021,3:49:35 PM,1:22:30,1.38
"met with Hathaway, Nygaard, Thayne and Sean, figured out static website stuff",3/5/2021,9:24:39 AM,3/5/2021,11:32:33 AM,2:07:54,2.13
"Studying performance metrics, plumber, etc",3/5/2021,8:05:00 AM,3/5/2021,9:08:23 AM,1:03:23,1.06
plumber,3/4/2021,10:07:20 PM,3/4/2021,10:45:16 PM,0:37:56,0.63
pdf scraping,3/4/2021,9:20:00 PM,3/4/2021,10:06:12 PM,0:46:12,0.77
more plumber,3/4/2021,7:42:25 PM,3/4/2021,8:32:17 PM,0:49:52,0.83
api stuff,3/4/2021,6:33:57 PM,3/4/2021,7:15:55 PM,0:41:58,0.7
plumber,3/4/2021,5:01:33 PM,3/4/2021,5:55:00 PM,0:53:27,0.89
met with Sean,3/4/2021,3:03:56 PM,3/4/2021,4:24:30 PM,1:20:34,1.34
api stuff,3/4/2021,1:50:23 PM,3/4/2021,2:48:33 PM,0:58:10,0.97
plumber api stuff,3/4/2021,12:40:46 PM,3/4/2021,1:34:58 PM,0:54:12,0.9
"api stuff, met with Sean",3/4/2021,11:14:08 AM,3/4/2021,12:10:00 PM,0:55:52,0.93
Studying elastic net regression and apis,3/4/2021,10:20:42 AM,3/4/2021,11:04:37 AM,0:43:55,0.73
http and fetch,3/3/2021,7:05:53 PM,3/3/2021,7:53:28 PM,0:47:35,0.79
http and fetch,3/3/2021,5:56:23 PM,3/3/2021,6:57:27 PM,1:01:04,1.02
"http, js, plumber",3/3/2021,4:30:00 PM,3/3/2021,5:50:47 PM,1:20:47,1.35
"modeling, met with Sean, studied logistic regression, ridge and lasso",3/3/2021,12:57:46 PM,3/3/2021,3:38:28 PM,2:40:42,2.68
eda and modeling,3/3/2021,12:20:59 PM,3/3/2021,12:51:29 PM,0:30:30,0.51
Finished post,3/2/2021,8:10:00 PM,3/2/2021,9:59:52 PM,1:49:52,1.83
finishing blog post,3/2/2021,6:40:33 PM,3/2/2021,7:47:03 PM,1:06:30,1.11
blog post,3/2/2021,5:18:00 PM,3/2/2021,6:20:00 PM,1:02:00,1.03
met with Sean,3/2/2021,3:03:10 PM,3/2/2021,3:15:12 PM,0:12:02,0.2
second blog post,3/2/2021,1:45:15 PM,3/2/2021,2:56:32 PM,1:11:17,1.19
second blog post,3/2/2021,11:31:26 AM,3/2/2021,12:40:03 PM,1:08:37,1.14
modeling,3/1/2021,7:29:21 PM,3/1/2021,8:17:25 PM,0:48:04,0.8
modeling,3/1/2021,5:00:00 PM,3/1/2021,7:00:00 PM,2:00:00,2
"met with Sean, wrangled new data, modeling",3/1/2021,2:34:00 PM,3/1/2021,4:16:51 PM,1:42:51,1.71
Plumber,3/1/2021,9:02:27 AM,3/1/2021,9:46:40 AM,0:44:13,0.74
modeling with Sean,2/27/2021,2:02:00 PM,2/27/2021,4:50:21 PM,2:48:21,2.81
modeling,2/26/2021,7:00:00 PM,2/26/2021,11:30:00 PM,4:30:00,4.5
researching various resampling methods,2/26/2021,2:05:44 PM,2/26/2021,2:28:18 PM,0:22:34,0.38
eda,2/26/2021,12:58:20 PM,2/26/2021,1:33:00 PM,0:34:40,0.58
some more reshaping of the data,2/26/2021,10:30:00 AM,2/26/2021,11:00:00 AM,0:30:00,0.5
"eda, then met with Nygaard and Hathaway, then Sean",2/26/2021,8:28:57 AM,2/26/2021,10:07:17 AM,1:38:20,1.64
"Max Kuhn tidymodels, and data validation",2/25/2021,5:37:35 PM,2/25/2021,7:40:00 PM,2:02:25,2.04
Tidymodels,2/25/2021,4:44:09 PM,2/25/2021,4:54:02 PM,0:09:53,0.16
modeling and met with Sean,2/25/2021,1:23:02 PM,2/25/2021,3:12:07 PM,1:49:05,1.82
modeling,2/25/2021,10:05:35 AM,2/25/2021,12:41:50 PM,2:36:15,2.6
,2/24/2021,9:08:36 AM,2/24/2021,10:14:54 AM,1:06:18,1.11
modelling,2/23/2021,6:30:34 PM,2/23/2021,9:55:00 PM,3:24:26,3.41
finished up blog post,2/23/2021,12:28:49 PM,2/23/2021,1:10:00 PM,0:41:11,0.69
finishing up the blog post,2/23/2021,10:55:00 AM,2/23/2021,12:13:05 PM,1:18:05,1.3
,2/22/2021,8:36:47 PM,2/22/2021,9:58:01 PM,1:21:14,1.35
blog and what not,2/22/2021,2:54:29 PM,2/22/2021,6:15:00 PM,3:20:31,3.34
"met with sean, finished data wrangling",2/22/2021,1:10:00 PM,2/22/2021,2:14:53 PM,1:04:53,1.08
writing my blog post,2/22/2021,11:54:07 AM,2/22/2021,1:02:21 PM,1:08:14,1.14
worked on my blog post,2/22/2021,10:30:00 AM,2/22/2021,11:00:00 AM,0:30:00,0.5
fixing the blog,2/20/2021,9:00:00 PM,2/20/2021,9:30:00 PM,0:30:00,0.5
data wrangling,2/20/2021,1:10:40 PM,2/20/2021,3:30:31 PM,2:19:51,2.33
"met with Hathaway, Nygaard, & Lee",2/19/2021,9:00:00 AM,2/19/2021,10:00:00 AM,1:00:00,1
data wrangling with Sean,2/18/2021,4:10:00 PM,2/18/2021,5:33:00 PM,1:23:00,1.38
data wrangling with sean,2/18/2021,11:20:36 AM,2/18/2021,12:33:53 PM,1:13:17,1.22
,2/17/2021,9:32:20 AM,2/17/2021,9:56:31 AM,0:24:11,0.4
,2/16/2021,1:40:35 PM,2/16/2021,4:21:00 PM,2:40:25,2.67
,2/16/2021,9:16:12 AM,2/16/2021,9:55:00 AM,0:38:48,0.65
,2/15/2021,4:22:00 PM,2/15/2021,5:03:02 PM,0:41:02,0.68
data wrangling with sean,2/15/2021,1:42:12 PM,2/15/2021,3:15:50 PM,1:33:38,1.56
,2/15/2021,10:45:41 AM,2/15/2021,11:40:30 AM,0:54:49,0.91
R plus JS,2/15/2021,8:10:00 AM,2/15/2021,8:30:00 AM,0:20:00,0.33
studying R and JS for potential use,2/14/2021,5:00:00 PM,2/14/2021,5:30:00 PM,0:30:00,0.5
studying some different R concepts/tidymodels,2/13/2021,4:00:00 PM,2/13/2021,5:00:00 PM,1:00:00,1
plot ad what ot,2/13/2021,10:10:00 AM,2/13/2021,10:40:00 AM,0:30:00,0.5
